,0,1,2,3,4,Clinda1,Clinda2,Clinda3,Clinda4,Clinda5,Clinda6,Clinda8,Levo1,Levo2,Levo3,Levo4,Levo5,Levo6,Levo7,Levo8,NoAbx1,NoAbx2,NoAbx3,NoAbx4,NoAbx5,NoAbx6,NoAbx7,NoAbx8,Piptazo1,Piptazo2,Piptazo3,Piptazo4,Piptazo5,Piptazo6,Piptazo7,Piptazo8,PTClinda1,PTClinda2,PTClinda3,PTClinda4,PTClinda5,PTClinda6,PTClinda7,PTClinda8
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000132917,0,0,4.02E-05,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptococcales,f__Peptococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001763357,0,0.001462487,0.003304792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae,d__Bacteria,p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007110931,0.001327014,0,0.000295035,0,0.001551128,0,0.001528544,0,0,0.001187027,0,0,0,0,0.000368026,0.001939719
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,0.163934426,0.385051752,0.43240777,0.387176092,0.336928105,0.151366789,0.293356998,0.494349182,0.383326645,0.524782067,0.274209698,0.222324299,0.510221345,0.217979316,0.462408592,0.581731617,0.623899371,0.543192122,0.483025387,0.389553973,0.538491147,0.655462185,0.419138562,0.510521327,0.839337877,0.99076962,0.98775754,0.52726405,0.98556319,0.873928358,0.92076659,0.851550738,0.384757766,0.319884263,0.940178193,0.899282141,0.965486613,0.932136022,0.512682781
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__Clostridia_UCG-014,0,0,0,0,0,0,0,0,0.013944623,0.004732254,0.005721642,0.016766192,0.003242634,0.003818616,0.002513711,0.002821372,0,0.001852484,0.000751089,0.000808203,0,0,0,0,0,0,0,0.000417611,0,0,0,0,0.000502978,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,0.154098361,0.165605096,0.176639291,0.165689427,0.218300654,0.294573643,0.213615619,0,0,0,0,0,0,0,0.004227605,0,0,0,0,0,0,0,0.008126778,0.103127962,0.020285622,0.000927253,0,0.075587639,0.006407782,0.025652954,0.019593822,0.038341865,0.057178497,0.018968012,0.006873144,0.0003263,0.006217485,0.008464596,0.021336914
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_vadinBB60_group,f__Clostridia_vadinBB60_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001410686,0.002830189,0.000682494,0.000901307,0.002475122,0.002309469,0,0,0,0,0,0,0.002267033,0,0,0,0,0.007122163,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000511871,0,0,0,0,0.005079236,0.003601896,0,0.000295035,0.00179158,0.007815297,0,0.004452715,0.002145309,0,0.008932883,0,0,0,0,0,0.015219338
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,0,0,0,0,0.00130719,0,0,0.366523772,0.429875602,0.370859278,0.548705478,0.572576941,0.375440575,0.657438345,0.41476234,0.199523893,0.20754717,0.26687954,0.277452306,0.281052685,0.238645112,0.12605042,0.251117432,0.031469194,0,0.003751159,0.004926844,0.049994034,0.000463213,0.011696684,0.002717391,0.004617083,0.038930468,0.045651824,0.012728044,0.003480531,0.003425961,0.004416311,0.136824828
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,0.009836066,0.030155255,0,0,0.068300654,0.000611995,0.047920892,0.015588465,0.017455859,0.006973848,0.025890431,0.010564998,0.010432821,0.011455847,0.022052102,0.008023276,0.002515723,0.009311169,0.010590356,0.022579179,0.018860662,0.067226891,0.041852905,0.015165877,0.001460565,0.000168591,0.001343685,0.012170385,0.000463213,0.009702931,0.000858124,0.000903342,0.009194431,0.024754863,0.003054731,0.001522732,0,0.002502576,0.038645181
